Harekeli Kelime;Kelime;Anlam
"اِنْتِقَالٌ";"انتقال";"Geçiş, nakil, intikal"
"اِنْتِقَامٌ";"انتقام";"İntikam almak, öç almak"
"اِنْتَقَدَ";"انتقد";"Eleştirmek, tenkit etmek"
"اِنْتَقَشَ";"انتقش";"Nakşedildi, işlendi, kazındı"
"اِنْتَقَصَ";"انتقص";"Eksiltti, azalttı, noksanlaştırdı"
"اِنْتَقَلَ";"انتقل";"Geçmek, taşınmak, nakletmek"
"اِنْتَقَلَا";"انتقلا";"İkisi taşındı, ikisi geçti"
"اِنْتَقَلَتِ";"اِنتَقَلَتِ";"Taşındı, geçti"
"اِنْتَقَلَتْ";"انتقلت";"Taşındı, geçti, nakledildi"
"اِنْتَقَلْتَ";"اِنْتَقَلْتَ";"Taşındın, geçtin"
"اِنْتَقَلْنَ";"انتقلن";"Taşındılar, geçtiler"
"اِنْتَقَمَ";"انتقم";"İntikam aldı, öç aldı"
"اِنْتِكَاسٌ";"انتكاس";"Gerileme, kötüleşme, nüksetme"
"أَنْتُمَا";"اَنْتُمَا";"Siz ikiniz"
"اِنْتِمَاءٌ";"انتماء";"Aidiyet, mensubiyet"
"اِنْتِمَاؤُهُ";"انتماؤه";"Onun aidiyeti, onun mensubiyeti"
"اِنْتَمَى إِلَى";"انتمى الى";"Ait olmak, mensup olmak, üye olmak"
"اِنْتَمَى";"انتمي";"ait olmak, mensup olmak"
"أَنْتُنَّ";"اَنْتُنَّ";"Sizler (dişiller için)"
"اِنْتَهَى إِلَى";"انتها إلى";"Ulaştı, vardı, sona erdi"
"اِنْتِهَاءٌ";"انتهاء";"Bitiş, sona erme, tükenme"
"اِنْتِهَاكٌ";"انتهاك";"İhlal etme, çiğneme, tecavüz etme"
"اِنْتَهَتْ";"انتهت";"Bitti, sona erdi"
"اِنْتَهَجَ";"انتهج";"Benimsemek, izlemek, takip etmek"
"اِنْتَهَرَ";"انتهر";"Azarladı, çıkıştı, payladı"
"اِنْتَهَزَ";"انتهز";"Fırsatı değerlendirmek, istifade etmek, ele geçirmek"
"اِنْتَهَكَ";"انتهك";"İhlal etti, çiğnedi, tecavüz etti"
"اِنْتَهُوا";"انتهوا";"Sona erdiler, bitirdiler"
"اِنْتَهَى";"انتهى";"Sonuna gelmek, bitmek, sona ermek"
"اِنْتَهَى بِـ";"انتهى ب";"ile bitti, ile sonuçlandı"
"اِنْتَهَيْتُ";"انتهيت";"Bitirdim, sona erdim"
"اِنْتَهَوْا";"انْتََوْا";"Sona erdiler, bitirdiler"
"أُنْثَىٰ";"انثا";"Dişi, kadın"
"أُنْثَوِيَّةٌ";"انثوية";"Dişilik, kadınlık, dişil"
"إِنْجَاءٌ";"انجاء";"Kurtarma, kurtuluş, halas etme"
"إِنْجَابٌ";"انجاب";"Çocuk sahibi olma, doğurma"
"إِنْجَازٌ";"انجاز";"Başarı, tamamlama, gerçekleştirme"
"إِنْجَازَاتٌ";"انجازات";"Başarılar, kazanımlar, tamamlanmış işler"
"إِنْجَازَاتُهَا";"انجازاتها";"Başarıları, başarımları"
"اِنْجِبَارٌ";"انجبار";"Zorlanma, mecbur kalma, kırık kemiğin iyileşmesi"
"اِنْجَبَرَ";"انجبر";"Zorlandı, mecbur kaldı"
"أَنْجَحُ";"انجح";"Daha başarılı, en başarılı"
"أَنْجَدَ";"انجد";"Yardım etti, imdat etti"
"اِنْجَذَبَ";"انجذب";"Çekildi, cezbedildi"
"اِنْجِرَارٌ";"انجرار";"Savrulma, sürüklenme, çekilme"
"اِنْجِرَافٌ";"انجراف";"Sürüklenme, kayma, erozyon"
"أَنْجِزْ";"انجِزْ";"Tamamla, bitir, gerçekleştir"
"أَنْجَلَ";"اَنْجَلَ";"açığa çıkardı, ortaya çıkardı, netleştirdi"
"اِنْجَلَى";"انجلى";"Açığa çıktı, belirdi, ortaya çıktı"
"اِنْجَمَعَ";"انجمع";"Toplanmak, bir araya gelmek"
"أَنْحَاءٌ";"انحاء";"Yönler, taraflar, bölgeler, çevreler"
"أَنْحَاءٍ";"انحاءِ";"Taraflar, bölgeler, çevreler"
"اِنْحَازَ";"انحاز";"Taraf tuttu, eğilim gösterdi, meyletti"
"اِنْحَبَّ";"انحب";"Sevildi, beğenildi"
"اِنْحِدَارٌ";"انحدار";"Eğim, yokuş aşağı iniş, düşüş"
"اِنْحَدَرَ";"انحدر";"indi, alçaldı, aktı"
"اِنْحَدَرَتْ";"انحذرت";"indi, aktı, düştü"
"أَنْحَرُ";"اَنْحَرُ";"Daha boğazlayan, daha kesen"
"اِنْحِرَافٌ";"انحراف";"Sapma, eğilme, yoldan çıkma"
"اِنْحَرَفَ";"انحرف";"Saptı, yön değiştirdi, yoldan çıktı"
"اِنْحَسَرَ";"انحسر";"Geri çekildi, azaldı, daraldı"
"اِنْحَسَرَتْ";"انحسرت";"geri çekildi, azaldı, dindi"
"اِنْحِصَارٌ";"انحصار";"Kısıtlama, sınırlama, kuşatma"
"اِنْحَصَرَ";"انحصر";"Sınırlandı, kısıtlandı, daraldı"
"اِنْحَصَرَتْ";"انحصرت";"Sınırlandı, kısıtlandı, daraldı"
"اِنْحِطَاطٌ";"انحطاط";"Çöküş, gerileme, alçalma"
"اِنْحَطَطَ";"انحطط";"Alçaldı, düştü, geriledi"
"اِنْحَطَمَ";"انحطم";"Kırıldı, parçalandı, harap oldu"
"اِنْحَفْ";"انحف";"Zayıfla, incel"
"اِنْحَفَظَ";"اِنْحفظ";"Korundu, muhafaza edildi"
"اِنْحِنَاءٌ";"انحناء";"Menderes, bükülme, eğilme"
"اِنْحِنَاءَاتٌ";"انحناءت";"Eğilmeler, bükülmeler"
"اِنْحَنَى";"انحنى";"Eğilmek, bükülmek, reverans yapmak"
"اِنْحِيَازٌ";"انحياز";"Tarafgirlik, eğilim, önyargı"
"اِنْخَدَعَ";"انخدع";"Aldandı, kandırıldı"
"اِنْخَذَلَ";"انخذل";"Yenildi, hayal kırıklığına uğradı, yüzüstü bırakıldı"
"اِنْخِرَاطٌ";"انخراط";"Katılma, dahil olma, iştirak etme"
"اِنْخِرَامٌ";"انخرام";"Delinme, yırtılma, ihlal edilme"
"اِنْخَرَطَ";"انخرط";"Katıldı, dahil oldu"
"اِنْخَرَمَ";"انخرم";"Delindi, yarıldı, bozuldu"
"اِنْخِفَاضٌ";"انخفاض";"Düşüş, azalma, alçalma"
"اِنْخَفَضَ";"انخفض";"Alçaldı, azaldı, düştü"
"اِنْخَفَضَتْ";"انخفضت";"Azaldı, düştü, indi"
"اِنْخَلَعَ";"انخلع";"Çıktı, yerinden çıktı, koptu"
"اِنْدَثَرَ";"اندثر";"Yok oldu, silindi, ortadan kalktı"
"اِنْدَحَرَ";"اندحر";"Yenildi, bozguna uğradı"
"اِنْدِرَاجٌ";"اندراج";"Dahil etme, kaydetme, ekleme"
"اِنْدَرَجَ";"اندرج";"Dahil olmak, kapsanmak, içine girmek"
"اِنْدَسَّ";"اندس";"Gizlice girdi, sızdı, arasına karıştı"
"اِنْدِفَاعٌ";"اندفاع";"İleri atılma, fırlama, hücum etme, coşku, atılım"
"اِنْدَفَعَ";"اندفع";"Atıldı, fırladı, hücum etti"
"اِنْدِلَاعٌ";"اندلاع";"Patlak verme, çıkma, başlama"
"اِنْدَلَعَ";"اندلع";"Patlak verdi, çıktı, başladı"
"اِنْدِمَاجٌ";"اندماج";"Birleşme, kaynaşma, entegrasyon"
"اِنْدَمَجَ";"اندمج";"Bütünleşti, kaynaştı, entegre oldu"
"اِنْدَهَشَ";"اندهش";"Şaşırdı, hayret etti"
"أَنْدِيَةٌ";"اندية";"Kulüpler, dernekler"
"إِنْذَارٍ";"انذار";"Uyarı, ikaz, ihtar"
"إِنْذَارَاتٌ";"انذارات";"Uyarılar, ikazlar"
"آنَذَاكَ";"انذاك";"O zaman, o vakit, o sırada"
"آنْذَاكَ";"انذاك";"O zaman, o vakit, o sırada"
"أَنْذَرْتَهُمْ";"انذرتهم";"Onları uyardın"
"اِنْذَلَّ";"انذل";"Aşağılandı, zelil oldu"
"اُنْذُلْنَا";"انذلنا";"Bize alçaklık edildi, bize zillet verildi"
"اِنْزَجَرَ";"انزجر";"Azarlandı, engellendi, men edildi"
"اِنْزِعَاجٌ";"انزعاج";"Rahatsızlık, sıkıntı, huzursuzluk"
"اِنْزَعَجَ";"انزعج";"Rahatsız olmak, sıkılmak, tedirgin olmak"
"أَنْزَلَ";"انزل";"İndirdi, aşağıya indirdi"
"أَنْزِلُ";"اَنْزِلُ";"İndiriyorum, indiririm"
"أُنْزِلَ";"اُنزِل";"İndirildi"
"اِنْزِلْ";"اِنْزِلْ";"İn, aşağı in"
"اِنْزِلَاقٌ";"انزلاق";"Kayma, kayganlık, sürçme"
"اِنْزَلَقَ";"انزلق";"Kaydı, kaydı düştü"
"اِنْزِوَائِيٌّ";"انزوائي";"İçe dönük, içine kapanık, münzevi"
"اِنْزَوَى";"انزوي";"Çekildi, köşeye çekildi, inzivaya çekildi"
"اِنْسَ";"اِنْسِ";"Unut"
"أَنْسَابٌ";"انساب";"Soylar, nesiller, akrabalıklar"
"اِنْسَابَ";"اِنساب";"Aktı, süzüldü, yayıldı"
"آنِسَاتٌ";"انسات";"Genç hanımlar, bayanlar"
"أَنْسَاهَا";"انساها";"Onu unutturdu"
"أَنْسَبُ";"انسب";"Daha uygun, en uygun"
"آنِسَةٌ";"انسة";"Bayan, genç hanım, bekar kadın"
"اِنْسِجَامٌ";"انسجام";"Uyum, ahenk, uygunluk"
"أَنْسِجَةٌ";"انسجة";"Dokular"
"اِنْسَجَمَ";"انسجم";"uyum sağladı, ahenkli oldu, bağdaştı"
"اِنْسِحَابٌ";"انسحاب";"Geri çekilme, çekilme"
"اِنْسَحَبَ";"انسحب";"Geri çekildi, çekildi"
"اِنْسَخْ";"انسخ";"Kopyala"
"اِنْسَدَلَ";"انسدل";"Sarktı, indi, uzandı"
"اِنْسَلَّ";"انسل";"Sıyrıldı, kaydı, gizlice çıktı"
"اِنْسَلَخَ";"انسلخ";"Soyuldu, sıyrıldı, ayrıldı"
"أَنْسَنَ";"اَنْسَنَ";"İnsanlaştırdı, insani özellikler verdi"
"اِنْسِيَابٌ";"انسياب";"Akış, akma, süzülme"
"اِنْسِيَابِيٌّ";"انسيابي";"Akıcı, pürüzsüz, aerodinamik"
"اِنْسِيَاقٌ";"انسياق";"Sürüklenme, peşinden gitme, kapılma"
"اِنْشَأْ";"اِنْشَأْ";"Oluştur, kur, inşa et"
"أَنْشَأْتُ";"انشأت";"Kurdu, inşa etti"
"أَنْشَأَتْ";"انشات";"Kurdu, inşa etti, oluşturdu"
"أَنْشَرَ";"اَنْشَرَ";"Yayımladı, neşretti, diriltti"
"اُنْشُرْ";"انشر";"Yayınla, yay"
"اُنْشُرِبَ";"انشرب";"İçildi"
"اِنْشَرَحَ";"انشرح";"Açıldı, ferahladı, genişledi"
"اُنْشُرْنَا";"انشرنا";"Bizi yay, bizi neşret"
"أَنْشِطَةٌ";"انشطه";"Faaliyetler, aktiviteler"
"اِنْشِغَالٌ";"انشغال";"Meşguliyet, meşgul olma, işgal"
"اِنْشَغَلَ";"انشغل";"Meşgul olmak, uğraşmak"
"اِنْشَقَّ";"انشق";"Yarılmak, ayrılmak, bölünmek"
"اِنْشَقَّ عَنْ";"انشق عن";"Ayrıldı, bölündü, koptu"
"أُنْشُودَةٌ";"انشودة";"Şarkı, ilahi, marş"
"إِنْصَاتٌ";"انصات";"Dinleme, kulak verme"
"إِنْصَافٌ";"انصاف";"Adalet, hakkaniyet, insaf"
"اِنْصَبَّ";"اِنْصَبَّ";"Döküldü, aktı, yöneldi"
"أَنْصِتْ";"انصت";"Dinle, kulak ver"
"أَنْصِتُوا";"اَنٔصِتوا";"Dinleyin, kulak verin"
"اِنْصَحْ";"انصح";"Nasihat et, öğüt ver"
"اِنْصَحِي";"انصحي";"Nasihat et, öğüt ver"
"اُنْصُرْ";"اُنْصُرُ";"Yardım et"
"اِنْصِرَافٌ";"انصراف";"Ayrılma, dağılma, geri çekilme"
"اِنْصِرَامٌ";"انصرام";"Sona erme, bitme, geçip gitme"
"اِنْصَرَفَ";"انصرف";"Uzaklaşmak, ayrılmak, dönmek"
"اِنْصَرِفْ";"اِنْصَرِفْ";"Uzaklaş, git, ayrıl"
"اِنْصَرَفَا";"انصرفا";"İkisi ayrıldı, ikisi uzaklaştı"
"اِنْصَرَفَتْ";"انصرفت";"ayrıldı, döndü, gitti"
"اِنْصَرَفُوا";"انصرفوا";"Uzaklaştılar, ayrıldılar, döndüler"
"اِنْصَعَ";"انصع";"Boyun eğdi, itaat etti"
"أَنْصَفَ";"انصف";"Adil davrandı, hakkaniyetle davrandı"
"اِنْصِهَارٌ";"انصهار";"Erime, çözülme, kaynaşma"
"اِنْضَغَطَ";"انضغط";"Sıkıştı, basıldı, tıkandı"
"اِنْضَمَّ";"انضم";"Katıldı, dahil oldu, ilhak etti"
"اِنْضِمَامٌ";"انضمام";"Katılma, iştirak etme, üye olma"
"اِنْطِبَاعٌ";"انطباع";"İzlenim, etki"
"اِنْطِبَاقٌ";"انطباق";"Uyum, uygunluk, örtüşme"
"اِنْطَبَخَ";"انطبخ";"Pişirildi, pişti"
"اِنْطَبَعَ";"انطبع";"Basıldı, iz bıraktı, etkilendi"
"اِنْطَبَقَ";"انطبق";"Uymak, örtüşmek, tatbik edilmek"
"اِنْطَرَحَ";"انطرح";"Atıldı, fırlatıldı, yere serildi"
"اِنْطَفَأَ";"انطفا";"Söndü, kapandı"
"اَنْطِقْ";"انطق";"Söyle, telaffuz et"
"اِنْطِلَاقٌ";"انطلاق";"Başlama, hareket etme, fırlatma"
"اِنْطَلَقَ";"انطلق";"Başladı, yola çıktı, fırladı"
"اِنْطَلِقْ";"اِنْطلِقْ";"Yola çık, hareket et, başla"
"اِنْطَلَقَتْ";"انطلقت";"Başladı, fırladı, yola çıktı"
"اِنْطَلِقُوا";"انطلقوا";"Gittiler, yola çıktılar, fırladılar"
"اِنْطَمَسَ";"انطمس";"Silindi, yok oldu, kayboldu"
"اِنْطِوَائِيٌّ";"اِنْطِوَاءي";"İçe dönük, içe kapanık"
"اِنْطَوَى";"انطوي";"Katlanmak, bükülmek, içermek, kapsamak"
"أَنْظَرَ";"انظر";"Bekletti, erteledi, mühlet verdi"
"اُنْظُرْ";"انظر";"Bak, gör"
"انْظُرْنَا";"انظرنا";"Bize bak, bizi gözet, bizi bekle"
"اُنْظُرِي";"انظري";"Bak, gör"
"أُنَظِّفَ";"اُنَظِّفَ";"Temizleyeyim, temizlemem"
"أُنَظِّفُ";"انظف";"Temizliyorum"
"اُنْظُلِمَ";"انظلم";"Haksızlığa uğramak, zulme uğramak"
"أَنْظَمَ";"اَنْظَمَ";"Düzenledi, tanzim etti"
"أُنَظِّمُ";"اُنظِّم";"Düzenliyorum, organize ediyorum"
"أَنْظِمَةٌ";"انظمة";"Sistemler, düzenler, rejimler"
"إِنْعَاشٌ";"انعاش";"Canlandırma, diriltme, ihya etme"
"أَنْعَامٌ";"انعام";"Hayvanlar, davarlar, sığırlar"
"إِنْعَامًا";"انعاما";"Nimetlendirme, ihsan etme, bağışlama"
"اِنْعَتْ";"انعت";"Nitele, vasfet"
"اِنْعَتَلَ";"انعتل";"Yere serilmek, devrilmek, düşmek"
"اِنْعِدَامٌ";"انعدام";"Yokluk, eksiklik, bulunmama"
"اِنْعَدَمَ";"انعدم";"Yok oldu, bulunmadı, eksik oldu"
"اِنْعَدَمَتْ";"انعدمت";"Yok oldu, bulunmadı"
"اِنْعَرَجَ";"انعرج";"döndü, saptı, viraj aldı"
"اِنْعِزَالٌ";"انعزال";"İnziva, yalnızlık, tecrit"
"اِنْعَزَلَ";"انعزل";"Uzaklaştı, çekildi, izole oldu"
"أَنْعَشَ";"انعش";"Canlandırdı, tazeledi, ferahlattı"
"اِنْعَصَرَ";"انعصر";"Sıkıldı, suyu çıkarıldı"
"اِنْعَطَفَ";"انعطف";"Döndü, saptı, yöneldi"
"اِنْعِقَادٌ";"انعقاد";"Toplanma, toplanış, akdedilme, bağlanma"
"اِنْعَقَدَ";"انعقد";"Toplandı, düğümlendi, bağlandı, aktedildi"
"اِنْعِكَاسٌ";"انعكاس";"Yansıma, akis, geri dönme"
"اِنْعَكَسَ";"انعكس";"Yansıdı, aksetti, tersine döndü"
"أَنْعَمَ";"انعم";"Nimet verdi, ihsan etti, lütfetti"
"أَنْعَمْتَ";"انعمت";"Nimet verdin, ihsan ettin"
"أَنْغَامٌ";"انغام";"Nağmeler, ezgiler, melodiler"
"اِنْغَصَمَ";"انغصم";"Kırıldı, parçalandı"
"اِنْغِلَاقٌ";"انغلاق";"Kapanma, kapanış, kapanıklık"
"اِنْغَلَقَ";"انغلق";"Kapandı, kilitlendi"
"اِنْغِمَاسٌ";"انغماس";"Batma, dalma, kendini verme, kendini kaptırma"
"اِنْغَمَسَ";"انغمس";"Daldı, battı, kendini kaptırdı"
"أَنْفٌ";"انف";"Burun"
"إِنْفَاقًا";"انفاقا";"Harcama, sarf etme"
"إِنْفَاقُهَا";"انفاقها";"Onu harcamak, onu sarf etmek"
"أَنْفَالٌ";"انفال";"Ganimetler, savaş ganimetleri"
"اِنْفِتَاحٌ";"انفتاح";"Açılma, açıklık, serbestleşme"
"اِنْفَتَحَ";"انفتح";"açıldı, açığa çıktı"
"اِنْفِجَارٌ";"انفجار";"Patlama"
"اِنْفِجَارَاتٌ";"انفجارات";"Patlamalar"
"اِنْفَجَرَ";"انفجر";"Patladı, infilak etti"
"اُنْفُخْ";"انفخ";"Üfle"
"أَنْفَذَ";"انفذ";"uyguladı, yerine getirdi, icra etti"
"اِنْفِرْ";"انفر";"Git, yola çık, sefere çık"
"اِنْفِرَادٌ";"انفراد";"Tek başına kalma, yalnızlık, teklik, ayrıcalık"
"اِنْفِرَاضٌ";"انفراض";"Nesli tükenme, yok olma"
"اِنْفَرَدَ";"انفرد";"Yalnız kaldı, tek kaldı, ayrıldı, özelleşti"
"أَنْفُسٌ";"انفس";"Nefisler, canlar, ruhlar"
"أَنْفُسُنَا";"انفسنا";"Kendimiz"
"أَنْفُسِهِمْ";"اَنْفُسِهِم";"Onların nefisleri, kendileri"
"اِنْفِصَالٌ";"انفصال";"Ayrılma, ayrılık, kopma"
"اِنْفِصَامٌ";"انفصام";"Ayrılma, bölünme, parçalanma"
"اِنْفَصَلَ";"انفصل";"Ayrıldı, koptu, bölündü"
"اِنْفَصَمَ";"انفصم";"Koptu, ayrıldı, parçalandı"
"اِنْفَضَّ";"انفض";"Dağıldı, sona erdi, boşaldı"
"اِنْفَضُّوا";"انفضوا";"Dağıldılar, ayrıldılar"
"اِنْفَعْ";"انفع";"Faydalı ol, yararlı ol"
"اِنْفِعَالًا";"اِنْفِعَالاً";"Duygulanma, heyecanlanma, infial"
"اِنْفِعَالِيٌّ";"انفعالي";"Duygusal, tepkisel"
"اِنْفَعَلَ";"اِنْفَعَلَ";"Etkilendi, tepki gösterdi"
"أَنْفَقْتُمْ";"اَنْفَقْتُمْ";"Harcadınız, sarf ettiniz"
"أَنْفِقُوا";"انفقوا";"Harcayın, infak edin"
"اِنْفَلَتَ";"انفلت";"Kaçtı, kurtuldu, serbest kaldı"
"اِنْقَادَ";"اِنْقَادَ";"İtaat etti, boyun eğdi, tabi oldu"
"إِنْقَاذٌ";"انقاذ";"Kurtarma, kurtarış"
"اُنْقُبِلْنَ";"انقبلن";"Kabul edildiler, alındılar"
"اِنْقَتَرَفَ";"انقترف";"İşledi, kazandı, elde etti"
"اِنْقِرَاضٌ";"انقراض";"Yok olma, soyu tükenme"
"اِنْقَرَضَ";"انقرض";"Nesli tükendi, yok oldu, ortadan kalktı"
"اِنْقَرَفَ";"انقرف";"Tiksinmek, iğrenmek"
"اِنْقِسَامٌ";"انقسام";"Bölünme, ayrılma, parçalanma"
"اِنْقَسَمَ";"انقسم";"Bölündü, ayrıldı"
"اِنْقَشَعَ";"انقشع";"Dağıldı, açıldı, ortadan kalktı"
"أَنْقَصَ";"انقص";"Eksiltti, azalttı"
"اُنْقُصْ";"اُنْقص";"Eksilt, azalt"
"أَنْقَضَ";"اَنقَضَ";"Yıktı, bozdu, bitirdi"
"اِنْقَضَّ";"انقض";"Üzerine atıldı, saldırdı, sona erdi, geçti"
"اِنْقَضَّ عَلَى";"انقض على";"Saldırdı, üzerine atıldı"
"اِنْقِضَاءٌ";"انقضاء";"Sona erme, bitme, geçme"
"اِنْقَضَتْ";"انقضات";"Sona erdi, bitti, geçti"
"اِنْقِضَاضٌ";"انقضاض";"Saldırma, hücum etme, atılma"
"اِنْقَضَى";"انقضى";"Geçti, sona erdi, bitti"
"اِنْقِطَاعٌ";"انقطاع";"Kesilme, kopma, ara verme"
"اِنْقِطَاعِهَا";"انقِطَاعِهَا";"Kesilmesi, kopması, sona ermesi"
"اِنْقَطَعَ";"انقطع";"Kesildi, koptu, sona erdi"
"اِنْقِلَابٌ";"انقلاب";"İnkılap, devrim, dönüşüm"
"اِنْقِلَابٌ عَلَى";"انقلاب على";"Bir şeye karşı darbe, bir şeye karşı devrim"
"اِنْقِلَابَاتٌ";"انقلابات";"Darbeler, devrimler, altüst oluşlar"
"اِنْقَلَبَ";"انقلب";"Döndü, tersine döndü, değişti"
"اِنْقَلِبْ";"اِنْقَلِبْ";"Dön, tersine çevril, değiş"
"اِنْقَلَبَ عَلَى";"انقلب على";"İsyan etti, karşı geldi, döndü"
"اِنْقَلَبَتْ";"انقلبت";"Döndü, tersine döndü, altüst oldu"
"اِنْقَلَبُوا";"انقلبوا";"Döndüler, geri döndüler, tersine döndüler"
"اِنْقِيَادًا";"انقيادا";"İtaat ederek, boyun eğerek"
"أَنَّكِ";"اَنَّكِ";"Senin, şüphesiz sen"
"اِنْكَبَّ عَلَى";"انكب على";"Kendini bir şeye vermek, bir şeye yoğunlaşmak, bir şeye eğilmek"
"اِنْكِبَابٌ";"اِنْكِبَاب";"Üzerine kapanma, eğilme, kendini verme"
"اِنْكِبَاسٌ";"انكباس";"İçe kapanma, büzülme, sıkışma"
"اِنْكِسَارٌ";"انكسار";"Kırılma, bozulma, yenilgi"
"اِنْكِسَارُ الْقَلْبِ";"انكسار القلب";"Kalp kırıklığı, gönül yarası"
"اِنْكَسَرَ";"انكسر";"Kırıldı, incindi"
"اِنْكَسَرْتُ";"انكسرت";"Kırıldım"
"اِنْكِشَافٌ";"انكشاف";"Ortaya çıkma, açığa çıkma, ifşa olma"
"اِنْكَشَفَ";"انكشف";"Ortaya çıktı, açığa çıktı, keşfedildi"
"اِنْكَفَأَ";"انكفا";"Geri döndü, geri çekildi, yüz çevirdi"
"إِنَّكُمْ";"انكم";"Şüphesiz siz, muhakkak siz"
"اِنْكَمَشَ";"انكمش";"Büzüldü, küçüldü, daraldı"
"إِنَّكُنَّ";"اِنَّكُنَّ";"Şüphesiz siz (dişiller)"
"أَنْمَاطٌ";"انماط";"Türler, çeşitler, modeller"
"أُنْمُلَةٌ";"انملة";"Parmak ucu, parmak boğumu"
"إِنَّنَا";"اِنَّنَا";"Şüphesiz biz, gerçekten biz"
"إِنَّنِي";"اِنّنى";"Şüphesiz ben, gerçekten ben"
"إِنَّهَا";"اِنَّهَا";"Şüphesiz o, muhakkak o"
"إِنْهَاءٌ";"انهاء";"Bitirme, sona erdirme, tamamlama"
"اِنْهَارَ";"انهار";"Yıkılmak, çökmek, çökmek, yıkılmak"
"أَنْهَتْ";"انهت";"Bitirdi, tamamladı"
"اِنْهِدَامٌ";"انهدام";"Yıkılma, çökme, harap olma"
"اِنْهَدَمَتْ";"انهدمت";"Yıkıldı, çöktü"
"أَنْهَرُ";"اَنْهَرُ";"Nehirler, akarsular"
"اِنْهِزَامٌ";"انهزام";"Yenilgi, bozgun"
"اِنْهَزَمَ";"انهزم";"Yenildi, mağlup oldu"
"اِنْهَضْ";"انهض";"Kalk, ayağa kalk"
"أَنْهَكَ";"انهك";"Yordu, tüketti, bitkin düşürdü"
"إِنَّهُمْ";"اِنَهُمْ";"Şüphesiz onlar, muhakkak onlar"
"اِنْهِمَاكٌ";"انهماك";"Yoğunlaşma, dalma, kendini verme"
"اِنْهَمَكَ";"انهمك";"Kendini bir şeye vermek, dalmak, meşgul olmak"
"اِنْهِيَارٌ";"انهيار";"Çöküş, yıkılma, iflas"
"اِنْهِيَارَاتٌ";"انهيارات";"Çöküşler, yıkımlar"
"أَنْوَاعٌ";"انواع";"Çeşitler, türler"
"أَنْوَاعُ النَّقْلِ";"اَنْوَاعُ النَّقْلِ";"Ulaşım türleri, nakil çeşitleri"
"أَنْوَرُ";"انور";"Daha aydınlık, daha parlak"
"اِنْوَهَمَ";"انْوَهَمَ";"Yanıldı, vehme kapıldı, kuruntuya düştü"
"أَنَى";"انَى";"yaklaştı, zamanı geldi"
"إِنِّي";"اِنّى";"Ben şüphesiz, gerçekten ben"
"أَنِّي";"اَنّي";"Benim, ben ki, ben olduğum"
"أَنِّيَ";"اَنّيَ";"Benim, bana ait"
"إِنِّيْ";"اِنِّيْ";"Şüphesiz ben, gerçekten ben"
"أُنِيبُ";"انيب";"Dönüyorum, yöneliyorum"
"أَنِيسٌ";"انيس";"Dost, arkadaş, yoldaş"
"أَنِيقَاتٌ";"انيقات";"Zarif kadınlar, şık kadınlar"
"أَنِيقَةٌ";"انيقة";"Zarif, şık, güzel"
"أَهَابَ";"اهاب";"Seslendi, çağırdı, korkuttu"
"أُهْبَةٌ";"اهبة";"Hazırlık, hazırlıklı olma"
"اِهْبِطْ";"اهبط";"İn, aşağı in"
"اِهْبِطُوا";"اهبطوا";"İnin, aşağı inin"
"اِهْتَدَى";"اهتدى";"Doğru yolu buldu, hidayete erdi"
"اِهْتَرَأَ";"اهترأ";"yıprandı, eskidi, çürüdü"
"اِهْتِرَاكٌ";"اهتراك";"Yıpranma, aşınma, eskime"
"اِهْتَزَّ";"اهتز";"Sarsılmak, titremek, sallanmak"
"اِهْتِزَازَاتٌ";"اهتزازات";"Titreşimler, sarsıntılar"
"اِهْتَزَّتْ";"اهتزت";"Sarsıldı, titredi"
"اِحْتِكَاكٌ";"اهتكاك";"Sürtünme, sürtüşme, çatışma"
"اِهْتَمَّ";"اهتم";"Önem vermek, ilgilenmek"
"اِهْتَمَّ بِـ";"اهتم ب";"İlgilenmek, önem vermek"
"اِهْتِمَامٌ";"اهتمام";"İlgi, alaka, önem"
"اِهْتِمَامَاتٌ";"اهتمامات";"İlgi alanları, hobiler, endişeler"
"اِهْتِمَامُهُمْ";"اهتمامهم";"Onların ilgisi, onların önemi"
"اِهْتَمَّتْ";"اهتمت";"İlgilendi, önem verdi"
"اِهْتَمِمْ";"اهتمم";"İlgilen, önem ver"
"اِهْتَمُّوا";"اِهْتموا";"İlgilendiler, önem verdiler"
"اُهْجُرْ";"اهجر";"Terk et, ayrıl"
"اِهْدِ";"اهد";"Hidayet et, yol göster"
"اِهْدَأْ";"اهدأ";"Sakinleş, yatış"
"إِهْدَاءٌ";"اهداء";"Hediye etme, sunma, ithaf etme"
"أَهْدَابٌ";"اهداب";"Kirpikler"
"إِهْدَارٌ";"اهدار";"İsraf etme, boşa harcama, ziyan etme"
"أَهْدَافُكَ";"اهدافك";"Hedeflerin"
"أَهْدَتْهُ";"اهدته";"Ona hediye etti, ona armağan etti"
"أَهْدِكُمْ";"اَهْدِكُمْ";"Size hidayet ederim, size yol gösteririm"
"اِهْدِمْ";"اهدم";"Yık, yok et"
"اهْدِنْ";"اهدن";"Hidayet et, doğru yola ilet"
"اهْدِنَا";"اهدنا";"Bize hidayet et, bizi doğru yola ilet"
"اِهْدِنَا";"اِهْدِنَا";"Bize hidayet et, bizi doğru yola ilet"
"أُهْدِي";"اهدي";"Hediye ediyorum, sunuyorum"
